,电影名称,电影链接,电影评分,评分人数,导演,主演,上映年份,国家,类型
212,人工智能,https://movie.douban.com/subject/1302827/,8.7,456927,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 海利·乔·奥斯蒙 Haley...,2001,美国 英国,剧情 科幻
213,恋恋笔记本,https://movie.douban.com/subject/1309163/,8.5,686818,导演: 尼克·卡索维茨 Nick Cassavetes,主演: 瑞恩·高斯林 Ryan Gosling /...,2004,美国,剧情 爱情
214,虎口脱险,https://movie.douban.com/subject/1296909/,8.9,264385,导演: 杰拉尔·乌里 Gérard Oury,主演: 路易·德·菲耐斯 Louis de Funès...,1966,法国 英国,喜剧 战争
215,终结者2：审判日,https://movie.douban.com/subject/1291844/,8.8,349131,导演: 詹姆斯·卡梅隆 James Cameron,主演: 阿诺·施瓦辛格 Arnold Schwarz...,1991,美国 法国,动作 科幻
216,疯狂的麦克斯4：狂暴之路,https://movie.douban.com/subject/3592854/,8.7,543396,导演: 乔治·米勒 George Miller,主演: 汤姆·哈迪 Tom Hardy / 查理兹·塞...,2015,澳大利亚 美国,动作 科幻 冒险
217,爱乐之城,https://movie.douban.com/subject/25934014/,8.4,958038,导演: 达米恩·查泽雷 Damien Chazelle,主演: 瑞恩·高斯林 Ryan Gosling /...,2016,美国,剧情 爱情 歌舞
218,罗生门,https://movie.douban.com/subject/1291879/,8.8,322772,导演: 黑泽明 Akira Kurosawa,主演: 三船敏郎 Toshirô Mifune / 京町子 ...,1950,日本,剧情 犯罪 悬疑
219,新龙门客栈,https://movie.douban.com/subject/1292287/,8.7,455966,导演: 李惠民 Raymond Lee,主演: 张曼玉 Maggie Cheung / 林青霞 Brigitte ...,1992,中国香港 中国大陆,动作 爱情 武侠 古装
220,芙蓉镇,https://movie.douban.com/subject/1297880/,9.3,148705,导演: 谢晋 Jin Xie,主演: 刘晓庆 Xiaoqing Liu / 姜文 Wen Jiang / 郑在石...,1987,中国大陆,剧情 爱情
221,无耻混蛋,https://movie.douban.com/subject/1438652/,8.7,491995,导演: 昆汀·塔伦蒂诺 Quentin Tarantino,主演: 布拉德·皮特 Brad Pitt / ...,2009,德国 美国,剧情 犯罪
222,崖上的波妞,https://movie.douban.com/subject/1959877/,8.6,512490,导演: 宫崎骏 Hayao Miyazaki,主演: 奈良柚莉爱 Yuria Nara / 土井洋辉 Hir...,2008,日本,动画 奇幻 冒险
223,千钧一发,https://movie.douban.com/subject/1300117/,8.8,308950,导演: 安德鲁·尼科尔 Andrew Niccol,主演: 伊桑·霍克 Ethan Hawke / 乌玛...,1997,美国,剧情 科幻 惊悚
224,花束般的恋爱,https://movie.douban.com/subject/34874432/,8.6,658975,导演: 土井裕泰 Nobuhiro Doi,主演: 菅田将晖 Masaki Suda / 有村架纯 Kasu...,2021,日本,剧情 爱情
225,萤火虫之墓,https://movie.douban.com/subject/1293318/,8.7,410963,导演: 高畑勋 Isao Takahata,主演: 辰己努 / 白石绫乃 / 志乃原良子,1988,日本,动画 剧情 战争
226,彗星来的那一夜,https://movie.douban.com/subject/25807345/,8.6,599586,导演: 詹姆斯·沃德·布柯特 James Ward Byrkit,主演: 艾米丽·芭尔多尼 Em...,2013,美国 英国,科幻 悬疑 惊悚
227,奇迹男孩,https://movie.douban.com/subject/26787574/,8.6,561099,导演: 斯蒂芬·卓博斯基 Stephen Chbosky,主演: 雅各布·特伦布莱 Jacob Tr...,2017,美国 中国香港,剧情 儿童 家庭
228,哈利·波特与死亡圣器(上),https://movie.douban.com/subject/2051007/,8.5,596522,导演: 大卫·叶茨 David Yates,主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,2010,英国 美国,奇幻 冒险
